主題ID,關鍵詞
58,"農民, 老農, 農保, 老農 津貼, 儲金, 津貼, 給付, 投保, 提繳, 農民 農民"
59,"wha, 宏都拉斯, 巴拉圭, 立陶宛, 斷交, 邦交國, 捷克, 邦交, who, 尼加拉瓜"
60,"景氣, 成長率, 主計長, gdp, 預測, 出口, imf, cpi, 樂觀, 通膨"
61,"寺廟, 地方創生, 馬祖, 宗教團體, 古蹟, 潮州, 故宮, 鄉鎮, 客委會, 鐵道"
62,"機場, 民航局, 旅客, 旅遊, 國旅, 桃機, 旅費, 航空公司, 華航, 觀光局"
63,"基本工資, 最低工資, 勞保, 加薪, 雇主, 撥補, 調漲, 勞保年金, 職災, 低薪"
64,"海洋, 海委會, 保育, 海洋 保育, 海域, 漁民, 海岸, 抽砂, 海巡署, 海保署"
65,"官兵, 教召, 國軍, 軍中, 後備, 軍人, 艦隊, 退輔會, 部隊, 敦睦"
66,"精神疾病, 病人, 社會安全網, 精神衛生法, 病患, 精神 病患, 精神病院, 社區支持, 患者, 治療"
67,"移工, 印尼, 看護, 外籍, 雇主, 缺工, 仲介, 失聯移工, 外籍 移工, 社福 移工"
68,"獵槍, 原民會, 保留地, 原住民 身分, 原住民 保留地, 原住民 土地, 部落, 海法, 山地, 原住民 原住民"
69,"旅館, 防疫 旅館, 機師, 檢疫, 航空公司, 諾富特, 春節, 民航局, 華航, 旅遊"
70,"考試院, 考試, 總處, 銓敘部, 加班, 人事行政, 人事行政 總處, 框架, 任用, 公務員服務法"
71,"法官, 審判, 國民法官, 檢察官, 被告, 判決, 司法院, 證據, 審判長, 辯護人"
72,"再生醫療, 癌症, 製劑, 細胞, 新藥, 藥品, 數位 醫療, 治療, 生技, 健保"
73,"觀光局, 旅遊, 旅客, 國旅, 觀光署, 風景區, 觀光客, 觀光業, 交通部 觀光局, 露營"
74,"公視, 華視, taiwanplus, 公共電視, 節目, 頻道, 中央社, 公廣, 公廣 集團, 影音"
75,"無人機, 空軍, 彈射, 5e, 飛機, 飛行員, 飛行, 失事, 飛官, 運安會"
76,"法官, 司法院, 出境, 檢察官, 鑑定, 公證人, 判決, 出海, 被告, 審判"
77,"詐騙, 數發部, 資外, 打詐, 詐騙集團, 詐欺, 個資, 外洩, 簡訊, line"
78,"振興, 振興券, 抵用券, 碰券, 餐飲業, 振興 抵用券, 紓困 振興, 產險, 夜市, 新南向"
79,"萬片, 口罩 口罩, 藥局, 僑委會, 防護衣, 僑民, 產能, 排隊, 實名制, 留學生"
80,"特教, 家長, 幼兒園, 教師, 國教, 特殊教育, 校園, 心評, 高中, 教法"
81,"國土, 國土計畫法, 徵收, 國有, 重劃, 土地法, 標售, 農地, 國產署, 公用"
82,"測速, 區間, 區間 測速, 違規, 機車, 罰單, 電動, 汽車, 駕駛, 公路"
83,"pcr, 健身房, 試劑, covid, 篩劑, 症狀, 診所, 病毒, 指揮中心, 醫護人員"
84,"居家隔離, 檢疫, 居家 檢疫, 居家, 指揮中心, 感染, 疫情 指揮中心, 消毒, sars, 三級警戒"
85,"減列, 刪減, 減列 減列, 旅費, 決算, 劃掉, 刪減 刪減, 撤案, 李貴敏, 業務費"
86,"轉型正義, 促轉會, 威權, 二二八, 促轉, 真相, 檔案, 政治檔案, 不法, 銅像"
87,"總裁, 央行, 升息, 通膨, 匯率, cpi, 美元, 操縱, 臺幣, 總裁 總裁"
88,"鳳梨, 外銷, 農產品, 農民, 品種, 水果, 釋迦, 蒜頭, 公噸, 出口"
89,"檢察官, 調查局, 犯罪, 詐騙, 打詐, 偵查, 起訴, 檢調, 檢察官 助理, 科技 偵查"
90,"中小企業, pfi, 主計長, 信保基金, 特別預算, 振興, 貸款, 滯洪, 億劑, 審計長"
91,"酒駕, 累犯, 毒駕, 駕駛, 刑法, 肇事, 外役監, 被害人, 喝酒, 監護處分"
92,"社區治療, 公共衛生, 治療, 強制 社區治療, 病人, 強制住院, 診所, 醫師, 住院, 居家"
93,"總預算, 表決, 開議, 禮拜二, 地制法, 協商 協商, 收案, 各黨, 總召, 截止"
94,"客家, 客委會, 客語, 客家人, 客庄, 語言, 客家 語言, 客家 族群, 客家 客家, 客家話"
95,"cptpp, 談判, 核食, 會員國, 萊豬, 關稅, 食品, rcep, 申請加入, 經貿"
96,"提名, 人民團體, 賄選, 調查局, 陳水扁, 視訊, 國務機要費, 司法院, 詐騙集團, 申報"
97,"道歉, 總統府, 雞蛋, 農業部, 萊豬, 臺獨, 開議, 政務官, 家園, 專機"
98,"育嬰, 女性, 生育率, 產假, 少子化, 育兒, 生育, 留職停薪, 津貼, 生殖"
99,"食材, 營養午餐, 飲食, 營養, 學校衛生法, 三章, 食農, 國產, 食農教育法, 食品"
100,"陸委會, 統戰, 僑民, 滲透, 海纜, 僑委會, 國安局, 恐嚇, 陸客, 中國政府"
101,"公司化, 臺鐵, 工會, 臺鐵 公司化, 臺鐵 工會, 火車, 公司化 臺鐵, 臺鐵局, 臺鐵 臺鐵, 工地"
102,"報稅, 振興, 碰券, 餐飲業, 展延, 中小企業, 紓困 振興, 臺商, 疫情 衝擊, 稅務"
103,"原住民 學校, 原民會, 原住民族學校法, 原住民族教育法, 師資, 部落, 民族, 原住民 原住民, 原民, 族語"
104,"海軍, 南海, 戰力, 空軍, 國軍, 海巡, 潛艦, 潛艦國造, 飛彈, 作戰"
105,"登山, 馬祖, 潮州, 六塊, 山林, 高鐵, 捷運, 大橋, 路線, 機場"
106,"蘇貞昌 蘇貞昌, 旁聽, 除罪化, 總統府, 貪污, 領海, 會報, 下台, 罷免, 金門"
107,"地震, 災害, 防災, 橋梁, 災防, 氣象局, 颱風, 地質, 大橋, 公路"
108,"武漢肺炎, 中研院, 武漢, 郵局, 郵政, 交通事故, 氣象局, 濟急, 南方, 攻擊"
109,"貿易, 談判, 協定, fta, 世紀 貿易, ecfa, 經貿, 世紀, ipef, 貿易協定"
110,"國家機密, 機密, 國安局, 國家機密 保護法, 營業秘密, 保密, 解密, 保護法, 檔案, 調查局"
111,"中小企業, 貸款, 萬家, 紓困 貸款, 小店, 攤商, 振興, 中低收入, 行庫, 利息"
112,"霸凌, 幼兒園, 不當對待, 校園 霸凌, 家長, 校園, 特教, 體罰, 不當管教, 教保"
113,"提名, 大法官, 考試院, 考試, 職權, 促轉會, 憲政, 行使, 陪審制, 同意權"
114,"檢察官, 起訴, 書記官, 地檢署, 重訊, 偵辦, 偵查, 政風, 辦案, 司法院"
115,"排放, 核廢水, 原能會, 福島, 輻射, 廢水, 監測, iaea, 核災, 核電廠"
116,"語言, 客語, 客家, 臺語, 族語, 拼音, 母語, 客家話, 雙語, 原住"
117,"國務機要費, 機要, 懲戒, 審計部, 迴避, 審計, 記過, 總預算, 審計長, 特別預算"
118,"加班, 加班費, 工時, 時數, 補休, 總處, 勞基法, 約聘僱, 嘉獎, 承攬"
119,"投票, 中選會, 選委會, 選務, 連署, 候選人, 罷免, 保證金, 參選, 提名"
120,"影像, 性私密影像, 散布, 被害人, 下架, deepfake, 犯罪, 刑法, 隱私, 散播"
121,"太空, 太空中心, 發射, 科技部, 火箭, 衛星, 太空發展法, 發射場, 行政法, 太空 科技"
122,"動物, 寵物, 動保法, 動保, 野生動物, 飼主, 虐待, 飼養, 流浪, 保育"
123,"台積電, 半導體, 晶片, 製程, 產創條例, 供應鏈, 設廠, 奈米, 護國神山, 抵減"
124,"黨產會, 政治獻金, 行政中立, 人身自由, 救國團, 罷免, 拘束, 連署, 議事, 圖書館"
125,"犯罪被害人, 檢察官, 被害人, 刑法, 起訴, 犯保, 酒駕, 司法院, 毒品, 犯罪"
126,"中油, 電價, 油價, 虧損, 台電, 天然氣, 能源, 用電, 凍漲, 號機"
127,"5g, 4g, 基地, ncc, 通訊, 電信業, 電信, 偏鄉, 標金, 之星"
128,"老人, 高齡, 住宿, 失智, 扶養, 照護, 失能, 長者, 看護, 給付"
129,"股東會, 股東, 日盛, 委託書, 中資, 富邦, 公司法, 有價證券, 併購, 經營權"
130,"電子支付, 發票, 行動支付, 五倍券, pay, 綁定, 蝦皮, 夜市, 電支, 振興"
131,"物價, cpi, 主計長, 通膨, 上漲, 漲價, 漲幅, 物價指數, 物價上漲, 油價"
132,"雙語, 英語, 語言, 師資, 雙語 雙語, 客語, 教師, 語文, 母語, 課程"
133,"多層次傳銷, 公益信託, 傳銷, 公平交易, 壟斷, 高通, 信託, 立案, 公平 公平, 公平交易法"
