委員,政黨,主題數量,主題1,主題1評分,主題1關鍵詞,主題2,主題2評分,主題2關鍵詞,主題3,主題3評分,主題3關鍵詞,主題4,主題4評分,主題4關鍵詞,主題5,主題5評分,主題5關鍵詞
周春米,民進黨,113,71,28.34479359779117,"法官, 審判, 國民法官",36,24.71075574078517,"監察委員, 人權委員會, 考試院",34,21.60002466258248,"大法官, 國民法官, 司法院",76,18.550878598342877,"法官, 司法院, 出境",39,17.166820044078356,"軍公教, 調薪, 退休金"
賴瑞隆,民進黨,154,6,37.84843895089829,"農民, 農會, 肥料",0,24.92325981401787,"豬肉, 萊克多巴胺, 標示",60,23.198394208588667,"景氣, 成長率, 主計長",95,22.649982126372223,"cptpp, 談判, 核食",32,22.1574248874276,"停電, 台電, 電網"
劉櫂豪,民進黨,104,13,42.04774814777531,"臺鐵, 鐵道局, 高鐵",5,40.23816938153092,"捷運, 高鐵, 公路",78,35.49593441976203,"振興, 振興券, 抵用券",30,30.78828939221303,"法官, 司法院, 國民法官",175,19.97957722707331,"露營, 觀光局, 旅遊"
張廖萬堅,民進黨,133,11,34.12379397021196,"體育署, 選手, 體育",19,32.60886668140253,"教師, 私校, 私立學校",14,28.16495443994563,"故宮, 博物館, 文物",29,26.23674916820592,"藝文, 漫畫, 藝術",177,25.80443014293749,"調解, 公共工程, 政府採購法"
蘇治芬,民進黨,121,6,54.23241550444367,"農民, 農會, 肥料",24,48.139463054642384,"農田水利, 水利會, 台糖",71,37.22152346112074,"法官, 審判, 國民法官",11,36.43874750018112,"體育署, 選手, 體育",1,36.05014012845217,"氣候變遷, 環保署, 減碳"
余天,民進黨,37,56,8.118022026377675,"客戶, 理專, 行庫",181,4.651610258481728,"自治, 臺中市, 無效",7,4.000002692238329,"央行, 國發基金, 主權基金",87,3.239371732810589,"總裁, 央行, 升息",17,3.14710227657276,"稅收, 稅率, 還稅於民"
林靜儀,民進黨,111,4,30.474599821261197,"退輔會, 教召, 軍人",159,18.925925019633205,"自殺, 兒童, 早療",31,17.43827643037943,"國軍, 中科院, 國防",52,16.772634342749573,"俄羅斯, 烏克蘭, 制裁",68,15.370222734288706,"獵槍, 原民會, 保留地"
吳欣盈,民眾黨,80,1,16.00142771991305,"氣候變遷, 環保署, 減碳",38,10.804338096539736,"原能會, 核能, 核廢料",72,10.037679066468362,"再生醫療, 癌症, 製劑",7,10.000564351181971,"央行, 國發基金, 主權基金",128,7.188041037933783,"老人, 高齡, 住宿"
王鴻薇,國民黨,98,77,11.377837023701774,"詐騙, 數發部, 資外",89,10.799062979843434,"檢察官, 調查局, 犯罪",21,9.278625605992929,"總統府, 秘書長 秘書長, 發言人",114,8.79607857105145,"檢察官, 起訴, 書記官",70,8.212531633956651,"考試院, 考試, 總處"
陳靜敏,民進黨,58,16,20.040101317192164,"醫師, 護理, 物理治療師",2,12.121800816067378,"高端, 萬劑, 施打",14,11.100866247594409,"故宮, 博物館, 文物",19,10.4805593891456,"教師, 私校, 私立學校",43,10.07637557574731,"校長, 學院, 校務"
陳培瑜,民進黨,88,19,24.18783559368529,"教師, 私校, 私立學校",80,20.33495023112918,"特教, 家長, 幼兒園",28,16.856570297371455,"特別預算, 總預算, 預算法",177,14.095615725519524,"調解, 公共工程, 政府採購法",50,14.00792862817586,"課綱, 學習歷程檔案, 學習歷程"
蔡培慧,民進黨,55,5,12.001991301639595,"捷運, 高鐵, 公路",112,8.197119445998561,"霸凌, 幼兒園, 不當對待",16,8.003756023655638,"醫師, 護理, 物理治療師",80,8.000004783742614,"特教, 家長, 幼兒園",30,6.936196566556314,"法官, 司法院, 國民法官"
陳琬惠,民進黨,101,70,11.65629117039631,"考試院, 考試, 總處",5,8.961960399343043,"捷運, 高鐵, 公路",186,8.058240067334978,"柬埔寨, 販運, 詐騙",48,8.024658065148726,"再生能源, 能源, 發電",3,6.697328376218442,"兩岸, 習近平, 陸委會"
鄭天財,國民黨,49,68,18.000460542530906,"獵槍, 原民會, 保留地",168,12.287521888232472,"紅色 供應鏈, 供應鏈, 紅色",24,9.196563005130525,"農田水利, 水利會, 台糖",33,8.000397132876124,"凍結 凍結, 減列, 減列 凍結",35,6.030376145845858,"原民會, 部落, 原住民 健康"
伍麗華,民進黨,30,68,10.09434472460887,"獵槍, 原民會, 保留地",168,8.251601566083352,"紅色 供應鏈, 供應鏈, 紅色",24,6.350073801283885,"農田水利, 水利會, 台糖",35,4.615714188293309,"原民會, 部落, 原住民 健康",33,3.312126527138502,"凍結 凍結, 減列, 減列 凍結"
趙正宇,民進黨,93,13,42.12623062005186,"臺鐵, 鐵道局, 高鐵",78,33.80560934039166,"振興, 振興券, 抵用券",27,30.0047833488795,"駕駛, 機車, 行人",7,26.32238094615508,"央行, 國發基金, 主權基金",161,24.484333109432526,"警械, 槍枝, 改造"
