委員,政黨,主題數量,主題1,主題1評分,主題1關鍵詞,主題2,主題2評分,主題2關鍵詞,主題3,主題3評分,主題3關鍵詞,主題4,主題4評分,主題4關鍵詞,主題5,主題5評分,主題5關鍵詞
邱臣遠,民眾黨,186,0,42.48927388716128,"豬肉, 萊克多巴胺, 標示",6,41.66834479623878,"農民, 農會, 肥料",2,35.257348628456384,"高端, 萬劑, 施打",78,33.58465951830732,"振興, 振興券, 抵用券",4,31.621558938916717,"退輔會, 教召, 軍人"
林為洲,國民黨,155,0,31.818089005277933,"豬肉, 萊克多巴胺, 標示",6,20.88653641972971,"農民, 農會, 肥料",93,18.79620759881145,"總預算, 表決, 開議",34,18.726251823856373,"大法官, 國民法官, 司法院",72,16.054274492801643,"再生醫療, 癌症, 製劑"
蔣萬安,國民黨,127,2,24.3117467018247,"高端, 萬劑, 施打",0,22.35359968399867,"豬肉, 萊克多巴胺, 標示",57,20.794856392061902,"健保, 醫師, 護理",158,20.574188014652115,"急難, 急難 紓困, 急難 救助",1,20.05640138307752,"氣候變遷, 環保署, 減碳"
蔡易餘,民進黨,185,6,39.34161113879959,"農民, 農會, 肥料",71,37.11855936926038,"法官, 審判, 國民法官",8,33.39468912337442,"用水, 水庫, 自來水",11,24.5166089890837,"體育署, 選手, 體育",64,22.780085991122057,"海洋, 海委會, 保育"
高嘉瑜,民進黨,191,7,51.65438640870372,"央行, 國發基金, 主權基金",157,48.15701129611966,"電動車, 電動, 電池",56,44.1255905065675,"客戶, 理專, 行庫",40,40.12666623674427,"囤房, 房屋, 稅率",87,35.24505537555409,"總裁, 央行, 升息"
翁重鈞,國民黨,130,6,78.6377696256863,"農民, 農會, 肥料",71,45.21896087764376,"法官, 審判, 國民法官",28,31.657231400002956,"特別預算, 總預算, 預算法",90,27.780193954085263,"中小企業, pfi, 主計長",0,25.59846320312009,"豬肉, 萊克多巴胺, 標示"
鄭麗文,國民黨,158,21,15.719948934999032,"總統府, 秘書長 秘書長, 發言人",4,15.243076475798931,"退輔會, 教召, 軍人",97,14.864221608746847,"道歉, 總統府, 雞蛋",156,14.124543408264172,"鑑定, 家暴, 法官",25,14.000003054303546,"黨產會, 表決, 不當黨產"
曾銘宗,國民黨,183,17,67.09924033822278,"稅收, 稅率, 還稅於民",87,66.02301102986829,"總裁, 央行, 升息",21,57.442234948639815,"總統府, 秘書長 秘書長, 發言人",7,43.14429441304699,"央行, 國發基金, 主權基金",53,42.41658364824173,"股市, 國安基金, 升息"
李德維,民眾黨,186,4,51.60273712283698,"退輔會, 教召, 軍人",0,39.211941506587046,"豬肉, 萊克多巴胺, 標示",14,33.133087359157244,"故宮, 博物館, 文物",68,32.097650651549145,"獵槍, 原民會, 保留地",6,31.829329823444294,"農民, 農會, 肥料"
游毓蘭,國民黨,193,22,86.0,"員警, 分局, 治安",10,63.6024792590167,"消防, 消防設備, 消防署",156,55.66664703185054,"鑑定, 家暴, 法官",27,49.45863472904498,"駕駛, 機車, 行人",41,46.62836024401636,"感染, 指揮中心, 檢疫"
莊瑞雄,民進黨,171,22,25.5,"員警, 分局, 治安",6,24.818127614799813,"農民, 農會, 肥料",64,16.98094557355679,"海洋, 海委會, 保育",35,16.709881319632167,"原民會, 部落, 原住民 健康",143,16.140208552296173,"修憲, 公民權, 修憲 門檻"
邱泰源,民進黨,92,16,67.59606825711346,"醫師, 護理, 物理治療師",57,64.32636809301216,"健保, 醫師, 護理",2,61.78813268259225,"高端, 萬劑, 施打",180,54.09706288065577,"泰國, 護照, 緬甸",92,28.02545459535362,"社區治療, 公共衛生, 治療"
賴香伶,民眾黨,186,2,32.57667929635154,"高端, 萬劑, 施打",70,30.943479674963463,"考試院, 考試, 總處",158,30.365137806653053,"急難, 急難 紓困, 急難 救助",21,29.728831026954804,"總統府, 秘書長 秘書長, 發言人",15,27.686884425610184,"雇主, 職災, 移工"
呂玉玲,國民黨,162,4,32.67584370235163,"退輔會, 教召, 軍人",0,25.11013857178083,"豬肉, 萊克多巴胺, 標示",6,22.54465542008772,"農民, 農會, 肥料",95,19.63587617716671,"cptpp, 談判, 核食",122,19.363483088936142,"動物, 寵物, 動保法"
陳雪生,國民黨,109,105,22.40728260006591,"登山, 馬祖, 潮州",44,19.3221385629574,"ncc, 鏡電視, 頻道",92,15.284454884303443,"社區治療, 公共衛生, 治療",30,14.571000635843657,"法官, 司法院, 國民法官",5,14.184658328211468,"捷運, 高鐵, 公路"
林俊憲,民進黨,128,27,46.12418565131497,"駕駛, 機車, 行人",7,36.40075065597716,"央行, 國發基金, 主權基金",62,33.822486036065456,"機場, 民航局, 旅客",78,31.384002095250533,"振興, 振興券, 抵用券",161,30.400086120470963,"警械, 槍枝, 改造"
沈發惠,民進黨,158,17,29.35583546532655,"稅收, 稅率, 還稅於民",87,27.19942813951444,"總裁, 央行, 升息",7,25.422024166969603,"央行, 國發基金, 主權基金",157,25.22294611764352,"電動車, 電動, 電池",56,22.43978060618755,"客戶, 理專, 行庫"
