委員ID,原始姓名,政黨,選區,八選區,原籍,七原籍,成長,七成長,大學學歷,最高學歷,前職業,任期起,任期迄,下任,性別,委員會,英文名
立委112,陳雪生,國民黨,連江,離島,連江,離島,臺中,中彰投,,,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：財政委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：財政委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：經費稽核委員會;第10屆第4會期：司法及法制委員會;第10屆第4會期：經費稽核委員會;第10屆第5會期：交通委員會;第10屆第5會期：經費稽核委員會;第10屆第6會期：經費稽核委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：交通委員會;第10屆第8會期：經費稽核委員會;,Chen Hsueh-Sheng
立委104,陳椒華,時代力量,不分區,不分區,臺南,南高屏,新北,基北桃,高雄醫學院藥學系,清華大學輻射生物研究所碩士,教授,2020/2/1,2024/1/31,,女,第10屆第6會期：經濟委員會;第10屆第7會期：程序委員會;第10屆第7會期：內政委員會;第10屆第8會期：程序委員會;第10屆第8會期：內政委員會;,Chen Jiau-Hua
立委107,陳琬惠,民眾黨,不分區,不分區,宜蘭,宜花東,臺南,南高屏,未公開,政治大學經營管理碩士,計劃主持人,2022/12/28,2024/1/31,,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第3會期：經濟委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Chen Wan Hui
立委111,陳超明,國民黨,苗栗,竹苗,苗栗,竹苗,苗栗,竹苗,政治大學公共行政學系,政治大學公共行政學系,政治大學公共行政系,2020/2/1,2024/1/31,連任,男,第10屆第1會期：交通委員會;第10屆第2會期：交通委員會;第10屆第2會期：紀律委員會;第10屆第3會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第6會期：紀律委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,ChenChao-Ming
立委105,陳歐珀,民進黨,宜蘭,宜花東,宜蘭,宜花東,宜蘭,宜花東,中興大學森林學系,台灣大學環工所博士,公務人員,2020/2/1,2024/1/31,陳俊宇,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第2會期：紀律委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第3會期：紀律委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Chen Ou-Po
立委108,陳瑩,民進黨,原住民,原住民,臺東,宜花東,高雄,南高屏,舊金山音樂學院鋼琴演奏,伊利諾大學香檳校園音樂系碩士,,2020/2/1,2024/1/31,連任,女,第10屆第6會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：程序委員會;第10屆第8會期：教育及文化委員會;,Chen Ying
立委113,陳靜敏,民進黨,不分區,不分區,臺南,南高屏,臺北,基北桃,伊利諾大學芝加哥分校護理學,印第安納大學健康政策與社區健康博士,教授,2022/12/28,2024/1/31,,女,第10屆第1會期：交通委員會;第10屆第4會期：交通委員會;第10屆第5會期：交通委員會;第10屆第6會期：交通委員會;第10屆第7會期：交通委員會;第10屆第8會期：交通委員會;,Ching-Min Chen
立委5,傅?萁,國民黨,花蓮,宜花東,花蓮,宜花東,花蓮,宜花東,淡江大學交通管理學系,廣州暨南大學國際關係博士,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：財政委員會;第10屆第1會期：程序委員會;第10屆第2會期：程序委員會;第10屆第2會期：財政委員會;第10屆第2會期：修憲委員會;第10屆第3會期：財政委員會;第10屆第3會期：程序委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：程序委員會;第10屆第4會期：財政委員會;第10屆第5會期：司法及法制委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;第10屆第8會期：經費稽核委員會;,Fu Kun-Chi
立委27,曾銘宗,國民黨,不分區,不分區,臺北,基北桃,嘉義,雲嘉,中興大學法商學院財稅學系,臺北大學企業管理研究所博士,企業高階主管,2020/2/1,2024/1/31,,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：紀律委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,TsengMing-Chung
立委52,游毓蘭,國民黨,不分區,不分區,臺北,基北桃,臺北,基北桃,中央警官學校公共安全學系,伊利諾大學公共政策分析博士,教授,2020/2/1,2024/1/31,,女,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：司法及法制委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,YuYu-Lan
立委53,湯蕙禎,民進黨,不分區,不分區,桃園,基北桃,臺北,基北桃,臺灣大學法律系,臺灣大學法律系,公務人員,2020/2/1,2024/1/31,,女,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第3會期：內政委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：內政委員會;第10屆第5會期：內政委員會;第10屆第5會期：程序委員會;第10屆第6會期：程序委員會;第10屆第6會期：內政委員會;第10屆第7會期：司法及法制委員會;第10屆第7會期：程序委員會;第10屆第7會期：經費稽核委員會;第10屆第8會期：程序委員會;第10屆第8會期：司法及法制委員會;第10屆第8會期：經費稽核委員會;,TangHui-Jane
立委79,費鴻泰,國民黨,臺北,基北桃,臺北,基北桃,臺北,基北桃,中興大學統計學系,肯塔基大學統計學博士,教授,2020/2/1,2024/1/31,徐巧芯,男,第10屆第1會期：財政委員會;第10屆第2會期：財政委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：程序委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第4會期：程序委員會;第10屆第5會期：財政委員會;第10屆第6會期：財政委員會;第10屆第6會期：紀律委員會;第10屆第7會期：財政委員會;第10屆第8會期：財政委員會;,Fai Hrong-Tai
立委119,黃世杰,民進黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,臺灣大學法律、社會學系,哥倫比亞大學法學碩士,律師,2020/2/1,2024/1/31,涂權吉,男,第10屆第1會期：內政委員會;第10屆第2會期：內政委員會;第10屆第2會期：修憲委員會;第10屆第2會期：司法及法制委員會;第10屆第3會期：司法及法制委員會;第10屆第3會期：紀律委員會;第10屆第3會期：修憲委員會;第10屆第4會期：司法及法制委員會;第10屆第5會期：司法及法制委員會;第10屆第5會期：紀律委員會;第10屆第6會期：司法及法制委員會;第10屆第7會期：內政委員會;第10屆第8會期：內政委員會;,HuangShih-Chieh
立委121,黃秀芳,民進黨,彰化,中彰投,彰化,中彰投,彰化,中彰投,靜宜大學外文系,靜宜大學外文系,業務助理,2020/2/1,2024/1/31,連任,女,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Huang Shiou-Fang
立委120,黃國書,民進黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,臺北藝術大學,中興大學國際政治研究所碩士,,2020/2/1,2024/1/31,羅廷瑋,男,第10屆第1會期：教育及文化委員會;第10屆第1會期：紀律委員會;第10屆第2會期：教育及文化委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,Huang Kuo-Shu
立委45,楊曜,民進黨,澎湖,離島,澎湖,離島,澎湖,離島,東海大學法律學系,東海大學法律學系,,2020/2/1,2024/1/31,連任,男,第10屆第1會期：社會福利及衛生環境委員會;第10屆第2會期：社會福利及衛生環境委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,Yang Yao
立委46,楊瓊瓔,國民黨,臺中,中彰投,臺中,中彰投,臺中,中彰投,東海大學社會學系,亞洲大學健康產業管理學系博士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：經濟委員會;第10屆第2會期：經濟委員會;第10屆第2會期：修憲委員會;第10屆第2會期：紀律委員會;第10屆第3會期：經濟委員會;第10屆第3會期：修憲委員會;第10屆第4會期：經濟委員會;第10屆第5會期：經濟委員會;第10屆第6會期：經濟委員會;第10屆第6會期：紀律委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Yang Chiung-Ying
立委54,溫玉霞,國民黨,不分區,不分區,嘉義,雲嘉,嘉義,雲嘉,未公開,密拉瑪大學MBA碩士,商會會長,2020/2/1,2024/1/31,,女,第10屆第1會期：外交及國防委員會;第10屆第2會期：外交及國防委員會;第10屆第3會期：外交及國防委員會;第10屆第3會期：程序委員會;第10屆第4會期：程序委員會;第10屆第4會期：外交及國防委員會;第10屆第5會期：外交及國防委員會;第10屆第6會期：外交及國防委員會;第10屆第7會期：社會福利及衛生環境委員會;第10屆第8會期：社會福利及衛生環境委員會;,WenYu-Hsia
立委67,萬美玲,國民黨,桃園,基北桃,桃園,基北桃,臺北,基北桃,明尼蘇達州立曼徹普立敦大學,廣州暨南大學國際關係研究所碩士,,2020/2/1,2024/1/31,連任,女,第10屆第1會期：教育及文化委員會;第10屆第2會期：教育及文化委員會;第10屆第2會期：紀律委員會;第10屆第3會期：教育及文化委員會;第10屆第4會期：程序委員會;第10屆第4會期：教育及文化委員會;第10屆第5會期：教育及文化委員會;第10屆第5會期：程序委員會;第10屆第6會期：教育及文化委員會;第10屆第7會期：教育及文化委員會;第10屆第8會期：教育及文化委員會;,WanMei-Ling
立委20,廖國棟,國民黨,原住民,原住民,臺東,宜花東,新北,基北桃,高雄醫學大學醫學系,太平洋大學道學碩士,醫師,2020/2/1,2024/1/31,,男,第10屆第1會期：經濟委員會;第10屆第1會期：紀律委員會;第10屆第3會期：社會福利及衛生環境委員會;第10屆第4會期：社會福利及衛生環境委員會;第10屆第5會期：社會福利及衛生環境委員會;第10屆第6會期：社會福利及衛生環境委員會;第10屆第7會期：經濟委員會;第10屆第8會期：經濟委員會;,Liao Kuo-Tung
